Index,Argument
0, "sdfs"
1, "1 U.S. 406 (Dall.)"
2,"Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 This was an action of debt brought upon a bond bearing date the 24th of April, 1779, and conditioned for the payment of L 500. lawful money of Pennsylvania."
3,"On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
4,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
5,"Lewis, for the Plaintiff, object:histed to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
6,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
7,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
8,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
9,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
10,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
11,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
12,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
13,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
14,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
15,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
16,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
17,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
18,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
19,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
20,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
21,"Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
22,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
23,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
24,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
25,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
26,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
27,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
28,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
29,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
30,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
31,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
32,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
33,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
34,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
35,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
36,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
37,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
38,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
39,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
40,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
41,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
42,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
43,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
44,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
45,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
46,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
47,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
48,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
49,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
50,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
51,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
52,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
53,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
54,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
55,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
56,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
57,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
58,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
59,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
60,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
61,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  M'Kean, Chief Justice."
62,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
63,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
64,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
65,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
66,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
67,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
68,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
69,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
70,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
71,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  M'Kean, Chief Justice."
72,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
73,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
74,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
75,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
76,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
77,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
78,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  1 U.S. 406 (Dall.)"
79,"Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 This was an action of debt brought upon a bond bearing date the 24th of April, 1779, and conditioned for the payment of L 500. lawful money of Pennsylvania."
80,"On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
81,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
